unique_value,correct_name,years,count
Thành phố Cần Thơ,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8609
Thành phố Hà Nội,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",24950
Thành phố Hải Phòng,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",11066
Thành phố Hồ Chí Minh,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",21362
Thành phố Đà Nẵng,,"2008, 2014, 2016, 2018, 2020",7527
Tỉnh An Giang,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",13653
Tỉnh Bà Rịa - Vũng Tàu,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9687
Tỉnh Bình Dương,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",10192
Tỉnh Bình Phước,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8768
Tỉnh Bình Thuận,,"2008, 2014, 2016, 2018, 2020",8645
Tỉnh Bình Định,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9911
Tỉnh Bạc Liêu,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8943
Tỉnh Bắc Giang,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",11130
Tỉnh Bắc Kạn,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",7010
Tỉnh Bắc Ninh,,"2008, 2014, 2016, 2018, 2020",8695
Tỉnh Bến Tre,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8725
Tỉnh Cao Bằng,,"2008, 2014, 2016, 2018, 2020",6354
Tỉnh Cà Mau,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9675
Tỉnh Gia Lai,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",10086
Tỉnh Hoà Bình,,2014,463
Tỉnh Hà Giang,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8901
Tỉnh Hà Nam,,"2008, 2014, 2016, 2018, 2020",6032
Tỉnh Hà Tây,,2008,881
Tỉnh Hà Tĩnh,,"2008, 2014, 2016, 2018, 2020",6301
Tỉnh Hòa Bình,,"2008, 2010, 2012, 2016, 2018, 2020",7854
Tỉnh Hưng Yên,,"2008, 2014, 2016, 2018, 2020",8079
Tỉnh Hải Dương,,"2008, 2014, 2016, 2018, 2020",10017
Tỉnh Hậu Giang,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8337
Tỉnh Khánh Hòa,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9141
Tỉnh Kiên Giang,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",12576
Tỉnh Kon Tum,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8334
Tỉnh Lai Châu,,"2008, 2014, 2016, 2018, 2020",7250
Tỉnh Long An,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",11432
Tỉnh Lào Cai,,"2008, 2014, 2016, 2018, 2020",7399
Tỉnh Lâm Đồng,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",10576
Tỉnh Lạng Sơn,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",7922
Tỉnh Nam Định,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",10462
Tỉnh Nghệ An,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",13930
Tỉnh Ninh Bình,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",7890
Tỉnh Ninh Thuận,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8556
Tỉnh Phú Thọ,,"2008, 2014, 2016, 2018, 2020",9162
Tỉnh Phú Yên,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8167
Tỉnh Quảng Bình,,"2008, 2014, 2016, 2018, 2020",6737
Tỉnh Quảng Nam,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",10320
Tỉnh Quảng Ngãi,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9511
Tỉnh Quảng Ninh,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9230
Tỉnh Quảng Trị,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",7844
Tỉnh Sóc Trăng,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9942
Tỉnh Sơn La,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",10448
Tỉnh Thanh Hóa,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",14969
Tỉnh Thái Bình,,"2008, 2014, 2016, 2018, 2020",8877
Tỉnh Thái Nguyên,,"2008, 2014, 2016, 2018, 2020",8404
Tỉnh Thừa Thiên Huế,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9673
Tỉnh Tiền Giang,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",12459
Tỉnh Trà Vinh,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9191
Tỉnh Tuyên Quang,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8572
Tỉnh Tây Ninh,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9931
Tỉnh Vĩnh Long,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8672
Tỉnh Vĩnh Phúc,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",9768
Tỉnh Yên Bái,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",7937
Tỉnh Điện Biên,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",8506
Tỉnh Đắk Lắk,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",12173
Tỉnh Đắk Nông,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",7328
Tỉnh Đồng Nai,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",14988
Tỉnh Đồng Tháp,,"2008, 2010, 2012, 2014, 2016, 2018, 2020",12445
